,CenLon,CenLat,name,deglac_yr_2.7deg_10perc_q50,deglac_yr_2.7deg_10perc_q17,deglac_yr_2.7deg_10perc_q83,vol2020_km3,fig_proj_simple_en,fig_proj_complex_en
RGI60-11.00897,10.7584,46.8003,Hintereisferner,2049.0,2044.0,2056.0,0.4,RGI60-11.00897_simple_en_three_glac_models_v1.png,RGI60-11.00897_complex_en_three_glac_models_v1.png
RGI60-11.00106,12.6967,47.0991,Pasterze,2063.0,2057.0,2079.0,1.19,RGI60-11.00106_simple_en_three_glac_models_v1.png,RGI60-11.00106_complex_en_three_glac_models_v1.png
RGI60-11.01238,8.3965,46.6236,Rhone,2072.0,2063.0,2093.0,1.24,RGI60-11.01238_simple_en_three_glac_models_v1.png,RGI60-11.01238_complex_en_three_glac_models_v1.png
RGI60-11.03643,6.934,45.883,FR4N01236A01 Mer de Glace/Geant,,,,1.74,RGI60-11.03643_simple_en_three_glac_models_v1.png,RGI60-11.03643_complex_en_three_glac_models_v1.png
RGI60-11.00325,11.0745,47.0723,Bachfallenferner,2039.0,2036.0,2052.0,0.05,RGI60-11.00325_simple_en_three_glac_models_v1.png,RGI60-11.00325_complex_en_three_glac_models_v1.png
RGI60-11.00104,12.1032,47.1386,Kuchelmooskees,2045.0,2040.0,2056.0,0.01,RGI60-11.00104_simple_en_three_glac_models_v1.png,RGI60-11.00104_complex_en_three_glac_models_v1.png
RGI60-11.03684,6.382,44.944,FR4N01083B21 Blanc,2061.0,2055.0,2068.0,0.29,RGI60-11.03684_simple_en_three_glac_models_v1.png,RGI60-11.03684_complex_en_three_glac_models_v1.png
RGI60-11.03671,6.629,45.295,FR4N01146D09+E06 Gebroulaz,2061.0,2051.0,2083.0,0.16,RGI60-11.03671_simple_en_three_glac_models_v1.png,RGI60-11.03671_complex_en_three_glac_models_v1.png
RGI60-11.03674,6.159,45.16,FR4N01162B09+154D03 de Saint Sorlin,2037.0,2032.0,2048.0,0.05,RGI60-11.03674_simple_en_three_glac_models_v1.png,RGI60-11.03674_complex_en_three_glac_models_v1.png
RGI60-11.01863,10.6286,46.4337,La Mare,2051.0,2044.0,2061.0,0.16,RGI60-11.01863_simple_en_three_glac_models_v1.png,RGI60-11.01863_complex_en_three_glac_models_v1.png
RGI60-11.03887,11.871,46.438,Marmolada,2053.0,2047.0,2061.0,0.03,RGI60-11.03887_simple_en_three_glac_models_v1.png,RGI60-11.03887_complex_en_three_glac_models_v1.png
RGI60-11.02388,10.6618,46.2295,Presanella,2042.0,2038.0,2050.0,0.03,RGI60-11.02388_simple_en_three_glac_models_v1.png,RGI60-11.02388_complex_en_three_glac_models_v1.png
RGI60-11.01806,10.634,46.456,Zufallferner,2055.0,2050.0,2067.0,0.22,RGI60-11.01806_simple_en_three_glac_models_v1.png,RGI60-11.01806_complex_en_three_glac_models_v1.png
RGI60-11.00846,10.7512,46.8247,Langtaufererferner,2059.0,2054.0,2069.0,0.41,RGI60-11.00846_simple_en_three_glac_models_v1.png,RGI60-11.00846_complex_en_three_glac_models_v1.png
RGI60-11.00286,12.2211,47.0659,Ã„usseres Lahnerkees,2058.0,2048.0,2070.0,0.02,RGI60-11.00286_simple_en_three_glac_models_v1.png,RGI60-11.00286_complex_en_three_glac_models_v1.png
